InputsCode,Penalty,Radius,VolFrac
01-A-P6-R2.750-V0.400,6,2.75,0.4
01-A-P6-R2.750-V0.450,6,2.75,0.45
01-A-P6-R2.750-V0.500,6,2.75,0.5
01-A-P6-R2.750-V0.550,6,2.75,0.55
01-A-P6-R2.750-V0.600,6,2.75,0.6
01-A-P6-R2.750-V0.650,6,2.75,0.65
01-A-P6-R3.000-V0.200,6,3.0,0.2
01-A-P6-R3.000-V0.250,6,3.0,0.25
01-A-P6-R3.000-V0.300,6,3.0,0.3
01-A-P6-R3.000-V0.350,6,3.0,0.35
01-A-P6-R3.000-V0.400,6,3.0,0.4
01-A-P6-R3.000-V0.450,6,3.0,0.45
01-A-P6-R3.000-V0.500,6,3.0,0.5
01-A-P6-R3.000-V0.550,6,3.0,0.55
01-A-P6-R3.000-V0.600,6,3.0,0.6
01-A-P6-R3.000-V0.650,6,3.0,0.65
01-A-P6-R4.000-V0.200,6,4.0,0.2
01-A-P6-R4.000-V0.250,6,4.0,0.25
01-A-P6-R4.000-V0.300,6,4.0,0.3
01-A-P6-R4.000-V0.350,6,4.0,0.35
01-A-P6-R4.000-V0.400,6,4.0,0.4
01-A-P6-R4.000-V0.450,6,4.0,0.45
01-A-P6-R4.000-V0.500,6,4.0,0.5
01-A-P6-R4.000-V0.550,6,4.0,0.55
01-A-P6-R4.000-V0.600,6,4.0,0.6
01-A-P6-R4.000-V0.650,6,4.0,0.65
01-A-P6-R5.000-V0.200,6,5.0,0.2
01-A-P6-R5.000-V0.250,6,5.0,0.25
01-A-P6-R5.000-V0.300,6,5.0,0.3
01-A-P6-R5.000-V0.350,6,5.0,0.35
01-A-P6-R5.000-V0.400,6,5.0,0.4
01-A-P6-R5.000-V0.450,6,5.0,0.45
01-A-P6-R5.000-V0.500,6,5.0,0.5
01-A-P6-R5.000-V0.550,6,5.0,0.55
01-A-P6-R5.000-V0.600,6,5.0,0.6
01-A-P6-R5.000-V0.650,6,5.0,0.65
01-A-P6-R6.000-V0.200,6,6.0,0.2
01-A-P6-R6.000-V0.250,6,6.0,0.25
01-A-P6-R6.000-V0.300,6,6.0,0.3
01-A-P6-R6.000-V0.350,6,6.0,0.35
01-A-P6-R6.000-V0.400,6,6.0,0.4
01-A-P6-R6.000-V0.450,6,6.0,0.45
01-A-P6-R6.000-V0.500,6,6.0,0.5
01-A-P6-R6.000-V0.550,6,6.0,0.55
01-A-P6-R6.000-V0.600,6,6.0,0.6
01-A-P6-R6.000-V0.650,6,6.0,0.65
01-A-P6-R8.000-V0.200,6,8.0,0.2
01-A-P6-R8.000-V0.250,6,8.0,0.25
01-A-P6-R8.000-V0.300,6,8.0,0.3
01-A-P6-R8.000-V0.350,6,8.0,0.35
01-A-P6-R8.000-V0.400,6,8.0,0.4
01-A-P6-R8.000-V0.450,6,8.0,0.45
01-A-P6-R8.000-V0.500,6,8.0,0.5
01-A-P6-R8.000-V0.550,6,8.0,0.55
01-A-P6-R8.000-V0.600,6,8.0,0.6
01-A-P6-R8.000-V0.650,6,8.0,0.65
